name,nickname
ABIGAIL,ABBIE
ABIGAIL,ABBY
ABIGAIL,GAIL
ALAN,AL
ALBERT,AL
ALBERT,BERT
ALEXANDER,AL
ALEXANDER,ALEX
ALEXANDRA,ALEX
ANASTASIA,ANA
ANASTASIA,STACEY
ANASTASIA,STACY
ANDREW,ANDY
ANDREW,DREW
ANNA,ANN
ANNA,ANNIE
ANNA,NINA
ANNABEL,ANN
ANNE,ANNIE
ARCHIBALD,ARCHIE
ARTHUR,ART
BARRETT,BARRY
BENEDICT,BENNY
BENJAMIN,BEN
BENJAMIN,BENNY
BERTRAM,BERT
BRADFORD,BRAD
BRODERICK,BRODY
BRODERICK,RICK
BRODERICK,RICKY
CAMERON,CAM
CATHERINE,CATHY
CHARLES,CHARLIE
CHARLES,CHUCK
CHRISTINA,TINA
CHRISTINE,CHRISTA
CHRISTINE,CHRISTI
CHRISTINE,CHRISTIE
CHRISTINE,CHRISTY
CHRISTINE,KRISTI
CHRISTINE,KRISTIE
CHRISTINE,KRISTY
CHRISTINE,TINA
CHRISTOPHER,CHRIS
CONSTANCE,CONNIE
CORNELIA,CONNIE
CURTIS,CURT
CYNTHIA,CINDY
DANIEL,DAN
DANIEL,DANNY
DAVID,DAVE
DEBORAH,DEB
DEBORAH,DEBBI
DEBORAH,DEBBIE
DEBORAH,DEBBY
DEBORAH,DEBRA
DONALD,DON
DONALD,DONNIE
DONALD,DONNY
DOUGLAS,DOUG
EDWARD,ED
EDWARD,EDDIE
EDWARD,EDDY
EDWARD,NED
ELIAS,ELI
ELIJAH,ELI
ELIZABETH,BETH
ELIZABETH,BETTY
ELIZABETH,LIZ
EUGENE,GENE
EUGENE,GENO
FRANCES,FANNIE
FRANCES,FANNY
FRANCES,FRANKIE
FRANCINE,FANNIE
FRANCINE,FANNY
FRANCINE,FRANKIE
FRANCIS,FRANK
FREDERICA,FREDDIE
FREDERICK,FRED
FREDERICK,FREDDIE
FREDERICK,FREDDY
GABRIEL,GABE
GABRIELLE,GABBY
GENEVIEVE,JENNY
GREGORY,GREG
HAROLD,HARRY
HOWARD,HOWIE
JACOB,JAKE
JACOB,JAY
JACQUELINE,JACKIE
JAMES,JACK
JAMES,JIM
JAMES,JIMMIE
JAMES,JIMMY
JANE,JENNY
JEFFREY,JEFF
JEFFREY,JEFFERY
JENNIFER,JEN
JENNIFER,JENNIE
JENNIFER,JENNY
JESS,JESSICA
JESSIE,JESSICA
JOCELINE,JO
JOHN,JOHNNIE
JOHN,JOHNNY
JONATHAN,JON
JOSEPH,JAY
JOSEPH,JOE
JOSEPH,JOEY
JOSHUA,JOSH
JUDITH,JODI
JUDITH,JODIE
JUDITH,JUDI
JUDITH,JUDY
KATHERINE,KATE
KATHERINE,KATHIE
KATHERINE,KATHY
KENNETH,KEN
KENNETH,KENNY
KIMBERLY,KIM
LAWRENCE,LARRY
LEONARD,LEO
LEONARDO,LEO
LORA,LORI
LORRAINE,LORI
LORRAINE,LORIE
MANUEL,MANNY
MARGARET,MAGGIE
MARGARET,MARGE
MARGARET,MARGIE
MARGARET,PEG
MARGARET,PEGGIE
MARGARET,PEGGY
MARGARET,RITA
MARTIN,MARTY
MARY,MOLLIE
MARY,MOLLY
MATTHEW,MATT
MAXIM,MAX
MAXIMILIAN,MAX
MAXIMILLIAN,MAX
MAXWELL,MAX
MELINDA,MEL
MELINDA,MINDY
MELVIN,MEL
MICHAEL,MIKE
NANCY,ANNIE
NICHOLAS,NICK
NICOLAS,NICK
NICOLE,NIKKIH
OLIVER,OLLIE
PAMELA,PAM
PATRICIA,PAT
PATRICIA,PATTIE
PATRICIA,PATTY
PATRICK,PAT
PENELOPE,PENNY
PETER,PETE
PHILLIP,PHIL
POLLY,MOLLIE
POLLY,MOLLY
RANDALL,RANDY
RAYMOND,RAY
REGINA,REGGIE
REGINALD,REGGIE
REGINALD,REX
RICHARD,DICK
RICHARD,RICH
RICHARD,RICK
ROBERT,BOB
ROBERT,BOBBY
ROBERT,ROB
ROBERT,ROBBIE
ROBERT,ROBBY
ROBERTA,BOBBI
RONALD,RON
ROSEMARY,ROSE
RUDOLF,DOLF
RUDOLF,ROLF
RUDOLF,RUDY
RUDOLPH,DOLF
RUDOLPH,ROLF
RUDOLPH,RUDY
RUSSELL,RUSS
SALVATORE,SAL
SAMANTHA,SAM
SAMUEL,SAM
SAMUEL,SAMMY
SOLOMON,SAL
STANLEY,STAN
STEVEN,STEVE
SUSAN,SUE
SUSANNAH,SUE
TAMARA,TAMMIE
TERENCE,TERRY
TERESA,TERI
TERESA,TERRI
TERESA,TERRY
TERESA,TESSA
THEODORE,TED
THEODORE,TERRY
THEODORE,THEO
THERESA,TERI
THERESA,TERRI
THERESA,TERRY
THERESA,TESSA
THOMAS,TOM
THOMAS,TOMMIE
THOMAS,TOMMY
TIMOTHY,TIM
TIMOTHY,TIMMY
TYLER,TY
TYRONE,TY
TYSON,TY
VICTORIA,VICKI
VICTORIA,VICKIE
VINCENT,VIN
WILHELMINA,BILLIE
WILHELMINA,MINA
WILHELMINA,MINNIE
WILHELMINA,WILLA
WILHELMINA,WILLIE
WILHELMINA,WILMA
WILLIAM,BILL
WILLIAM,BILLY
WILLIAM,WILL
WILLIAM,WILLIE
WILLIAM,WILLY
WOODROW,WOODY
ZACHARY,ZACH
ZACHARY,ZACK
